Јазол,X,Y
587,7497186.69,4648845.23
588,7496993.13,4648594.56
589,7496257.79,4644663.76
590,7496220.37,4644406.72
591,7495686.03,4641590.39
592,7495695.95,4641593.63
593,7494722.68,4636595.92
594,7494669.35,4636280.77
595,7494293.2,4634389.57
596,7494301.14,4634388.52
597,7493317.61,4629833.18
598,7493486.17,4630199.39
599,7492217.31,4629002.1
600,7492488.83,4629190.86
601,7491016.45,4627902.54
602,7493560.21,4592837.32
603,7493708.4,4592881.51
604,7479515.34,4560968.38
605,7479471.16,4560802.5
606,7479290.05,4559708.13
607,7479275.93,4559625.29
608,7479289.4,4557573.73
609,7479529.67,4557738.05
610,7482186.75,4553976.46
611,7482090.69,4553997.1
612,7512634.3,4546628.79
613,7518852.8,4547338.42
614,7518882.94,4547345.86
615,7524767.29,4544788.81
616,7529202.55,4547778.28
617,7537003.65,4564424.08
618,7536980.65,4564400.48
619,7543867.45,4574166.09
620,7543928.31,4574260.83
621,7586252.72,4630150.54
622,7598703.44,4626281.75
623,7598797.13,4626427.35
624,7603988.26,4633382.31
625,7604071.35,4633458.79
626,7615086.87,4640469.71
627,7615673.86,4640669.22
628,7617625.8,4640822.36
629,7548780.62,4646327.17
630,7548901.14,4646220.41
631,7551654.49,4644487.97
632,7551732.54,4644468.38
633,7597001.62,4624989.22
634,7597199.81,4624986.27
635,7606923.06,4609349.22
636,7607045.25,4609272.51
637,7621874.9,4609646.73
638,7621646.79,4609741.16
639,7627236.87,4605189.84
640,7626906.88,4605386.28
641,7632521.3,4600923.48
642,7632381.97,4601068.49
643,7636673.72,4595838.55
644,7636699.85,4595774.52
645,7636936.15,4594369.85
646,7580113.52,4602848.82
647,7580175.27,4602960.33
648,7560867.03,4667870.12
649,7638527.93,4587060.22
650,7638470.25,4587011.79
651,7558511.33,4676672.2
652,7558364.2,4675796.06
653,7558393.04,4673763.77
654,7558377.36,4673859.37
655,7558894.62,4670598.79
656,7558855.37,4670678.79
657,7558978.87,4670180.06
658,7558294.64,4662564.57
659,7558246.87,4662692.09
660,7558430.25,4659535.03
661,7558313.86,4659404.81
662,7556343.64,4653615.16
